DATE_TIME,POST
2024-03-21 22:32:12,홍현석 10회 터치할 때 이강인 27회면
2024-03-21 22:32:10,찬밥이 없으니 패스가 시원해서 정말 좋은 축구
2024-03-21 22:32:09,지금 축구인들은 다 정몽규탓이라는걸 너무 잘알아
2024-03-21 22:32:07,오늘 이강인 국대 적응 안된거 보인점..
2024-03-21 22:32:06,노인네들 기분 좆같겠노 ㅋㅋ
2024-03-21 22:32:05,월드컵 못나갈꺼 같다 ㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 22:32:04,클좆스만 빠는 새끼들도 제정신이 아니지 TXTXT.
2024-03-21 22:32:02,한국 동남아한테 인종차별 국가로 계속 불렸음 좋겠다
2024-03-21 22:32:01,4글자로 포복절도하게 해준다ㅋㅋㅋㅋㅋㄱㅋ
2024-03-21 22:32:00,울산새끼들 정몽규 전부다 인맥으로 국대들어온거 맞지?
2024-03-21 22:31:59,밥견이들아 뻥로스올리고 가회창출타령 ㅋㅋㅋㅋ
2024-03-21 22:31:57,이재성은 그래도 쓸만한데
2024-03-21 22:31:56,김민재 <<볼때마다 못해서 웃김ㅋㅋ
2024-03-21 22:31:55,"???: 윤준식, 옷입고 나와 오마카세 예약했다."
2024-03-21 22:31:54,이스타< 뭐라고 할지 ㅈㄴ기대 되지않냐
2024-03-21 22:31:52,축튜브 다음 선동은 뭘까??
2024-03-21 22:31:51,톱이 다병신인데 제로톱 쓰면 안되?
2024-03-21 22:31:50,애초에 븅신태국이랑붙는데 챔스리거를 왜쳐부름?
2024-03-21 22:31:49,정몽규랑 하나은행 아니면 솔직히 누가 한국축구에 돈쓰냐?
2024-03-21 22:31:48,동훈햄 그 파벌 저격 ㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 22:31:47,슝슝재=이새끼 올려치고부터 팀 망한 거 아니냐? ㄹㅇ
2024-03-21 22:31:46,근데 아무리봐도 중원이 제일 별로인 것 같지 왜
2024-03-21 22:31:43,오늘보니 이강인 조규성이 범인인데 좀 빼라시발
2024-03-21 22:31:40,주민규가 태국 수비 피지컬로 눌러줬는데 빼버려서;;
2024-03-21 22:31:38,아니 저 념글은 너무 지능적손깐데
2024-03-21 22:31:37,"클린스만은 사우디,호주 이겼는데ㅋㅋㅋㅋㅋ "
2024-03-21 22:31:35,오늘 도대체 잘한애가 손흥민 빼고 누군데?
2024-03-21 21:51:08,강인아. 국대 은퇴해라 ㅋㅋㅋ ㅈ센은 답이 없다
2024-03-21 21:51:07,음바페면 받지 씨발 ㅋㅋㅋㅋ
2024-03-21 21:51:06,음바페 맞춤 패스 ㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 21:51:05,앰창크로스 ㅋㅋ
2024-03-21 21:51:04,오 ㅏㅣ씨발 존나느리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 21:51:03,음바페 아니잖이 찬밥아 ㅋㅋㅋ
2024-03-21 21:51:02,하 개답답하네 홈에서 태국상대로 무 ㅋㅋㅋㅋㅋ
2024-03-21 21:51:01,아나 씨발
2024-03-21 21:51:00,민짜이 저새끼 진짜 오늘 워스트 후보중 하나
2024-03-21 21:50:59,그지랄로 열심히뛰기전에 먹히질말앗어야지 ㅉㅉㅉ
2024-03-21 21:50:58,짜이 미친 ㅅㄲ야 ㅋㅋㅋㅋ
2024-03-21 21:50:57,슝슝재 ㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 21:21:18,클린스만 억울함 ㅋㅋ말레이시아전이랑 똑같음 ㅋㅋㅋ
2024-03-21 21:21:17,대강인 ㅋㅋㅋㅋ
2024-03-21 21:21:16,대강인 입갤 ㅋㅋㅋ
2024-03-21 21:21:15,아오 국뽕시치 ㅋㅋㅋㅋ
2024-03-21 21:21:14,찬밥단 부활 ㅋㅋㅋ
2024-03-21 21:21:13,오늘 축구장 왜이렇게 썰렁함?
2024-03-21 21:21:12,원종이도  조롱할 가치가없어 조용하노ㅋㅋㅋㅋㅋㅋ
2024-03-21 21:21:11,수비수가 수비를 못함 ㅋㅋ
2024-03-21 21:21:10,찬밥단 부활 선포
2024-03-21 21:21:09,손가락 분쇄기 입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 21:21:08,"이강인, ""제 귀여운 대가리가 보이시나요?"""
2024-03-21 20:36:56,우리나라 국대경기 볼때마다 이해가 안되는게
2024-03-21 20:36:55,ㅋㅋㅋㅋㅋㅋㅋ지랄한다
2024-03-21 20:36:54,주장직 던짐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 20:36:53, 무 관 
2024-03-21 20:36:52,M
2024-03-21 20:36:51,앰
2024-03-21 20:36:50,은퇴해라 걍
2024-03-21 20:36:49,황선홍 존나 명장이네 찬밥이 빼서 경기력 ㅈ되는거 보여주고
2024-03-21 20:36:48,또 쇼하네 ㅅㅂㅋㅋㅋㅋ
2024-03-21 20:36:47,앰런 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅅㅅㅅㅅㅅㅅㅅ
2024-03-21 19:58:17,어휴씨ㅏㄹ 앰창민 ㅋㅋ
2024-03-21 19:58:16,주민규가 호셀루 케이스냐?
2024-03-21 19:58:14,유니폼 ㅅㅂ 무슨 소고기노?
2024-03-21 19:58:11,진달래색이냐?
2024-03-21 19:58:07,할매옷이녀??와으
2024-03-21 19:58:06,밥강인 벤치 ㅋㅋㅋㅋㅋ
2024-03-21 19:58:05,유니폼 빨간내복이냐 씨발 ㅋㅋㅋㅋㅋ
2024-03-21 19:58:04,앰가락 또 붕대 ㅅㅂ ㅋㅋㅋㅋ
2024-03-21 19:58:01,바이에른 뮌헨 좆간지ㅋㅋㅋㅋ
2024-03-21 19:58:00,황인범 이새끼는 빽있냐?
2024-03-21 19:57:59,살인범ㅋㅋ입갤
2024-03-21 19:57:49,와 응원 보이콧 쩐다 ㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 19:57:48,국대분위기 ㅈㄴ좋음ㅋㅋㅋㅋㅋㅋㅋ 표정 개밝노ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 19:57:47,에펨충이 감독해도 태국은 이기지
2024-03-21 19:57:45,붕대를 또 처 감고나왔네 ㅋㅋㅋㅋ
2024-03-21 19:57:44,민심테스트
2024-03-21 19:57:43,유니폼 존나 구리네 ㅋㅋㅋㅋ
2024-03-21 19:57:38,저 빡빡이 통역사 아니냐?
2024-03-21 19:57:37,주민규 이제성 김진수 다 개토나온다
2024-03-21 19:57:36,창민이 손가락 입갤ㅋㅋ
2024-03-21 19:57:30,대강인 왜 벤치냐?
2024-03-21 19:57:29,유니폼.....
2024-03-21 19:57:28,뭔데 아시아 3위됐냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 19:57:25,한국여자 진짜 많네 거의 반반인듯
2024-03-21 19:57:21,창민이 오늘은 스찌골 넣을 수 있을까?
2024-03-21 19:57:20,김민재 표정이 밝다
2024-03-21 19:57:12,아직도 22위야?ㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 19:57:10,찬밥이는 애국가도 ㅈㄴ 열심히 부름 ㅋㅋㅋㅋㅋ
2024-03-21 19:57:06,오늘 대참사난다.. 1-2 패배 본다 ㅋㅋㅋ 2시간후 상황 개꿀잼예약 ㅋ
2024-03-21 19:57:05,황인범 태국힌테도 털리면 ㄹㅈㄷ ㅇㅈ? ㅋㅋㅋ
2024-03-21 19:57:04,응원보이콧한다며 꽉찼네 ㅅㅂ
2024-03-21 19:57:02,와 주민규 국대데뷔 ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-21 19:57:01,대 흥 민
2024-03-21 10:17:13,이강인 여론 반전시키는 법 알려준다
2024-03-21 10:17:10,50명 남짓한 단톡방에 이강인 까는 1명
2024-03-21 10:17:03,■ 찬밥이 존나 뻔뻔한 새끼지 ㅇㅇ
2024-03-21 10:16:50,내 주위는 약간 달라졌어
2024-03-21 10:16:47,손까들이 해충갤 점령한게 웃긴 이유 ㅋㅋㅋㅋㅋ
2024-03-21 10:16:36,ㅇㅊㅁ이 머냐
2024-03-21 10:16:29,여기글 장시간 보다보면 정신병 걸릴듯
2024-03-21 10:16:25,팩트 대국민 사과 전 밤 모든 선수 앞에서 일일히사과함
2024-03-21 10:16:04,손흥민 대인배인척 하는거 역겹다 ㅇㅇ 적당히 해야지 시발
2024-03-21 10:15:56,대중들이 이강인 옹호하는 쪽으로 돌아선 이유
2024-03-21 10:15:47,비공개릴레이나 vpn쓰면 디시 흰화면만 나오는데 나만이럼?
2024-03-21 10:15:38,근데 앞에서 사과하는데 뒤에서 선배가 웃고있으면
2024-03-21 10:15:36,더썬제보자 나만 클감이라고 생각함?
2024-03-21 10:14:52,애초에 찬밥이가 어제 뭔 사과를 했냐?
2024-03-21 10:14:46,강인이가 아무 말도 안 하는데 쏘니가 왜 나섬?
2024-03-21 10:14:33,주장이라는거 이용해서 대장질 시발ㅋㅋㅋ
2024-03-21 10:14:18,강인이도 잘못 있는데 흥민이도 잘못 없는게 아님 ㅋㅋㅋㅋ
2024-03-21 10:14:16,비교할게없어서 7부 2어시따리랑 ㅋㅋ외국에서는 비니시우스 살라
2024-03-21 10:14:13,엠창민 병신새끼 좆소수준 ㅋㅋ 하면 걍 같이 웃겠는데
2024-03-21 10:13:59,근데 진짜 김민재 언급 싹 사라진게 ㅈㄴ 웃기긴함 ㅋㅋㅋㅋㅋ
2024-03-21 10:13:58,현실에서 축구 이야기 자체가 별로없다
2024-03-21 10:13:38,이강인 이번사건에서 존나 웃긴건
2024-03-21 10:13:24,토트넘이랑 파리는 왜 기싸움 하는거임?
2024-03-21 10:13:21,근데 ㄹㅇ 손흥민이 슛돌이 나갔으면
2024-03-21 10:13:17,현실에선 이제 이강인 관심도 없다
2024-03-21 10:13:11,일본은 의외로 여성차별이 거의 없다.
2024-03-21 10:13:09,손흥민 존나 뻔뻔한 새끼지 ㅇㅇ
2024-03-21 10:12:41,음바페가 이뻐하는 이유
2024-03-21 10:12:38,그래도 민재 챙겨주는건 해충갤뿐이네 ㅋ
2024-03-21 10:12:37,윤카 지지하면 개추
2024-03-21 10:12:33,■ 손흥민 존나 웃긴게 안덕수 사건은 입꾹닫ㅋ ■
2024-03-21 10:12:26,생각해보면 손흥민이 이강인 도와줄라고 했으면 바로 입장 발표했지
2024-03-21 10:12:22,손흥민=이강인 수준 끼리끼리 시발
2024-03-21 10:12:01,그냥 애초에 찬밥이는 개거품 언플 슛돌이 천재가스라이팅빨임
2024-03-21 10:11:54,내 주변 직장 동료든 친구든 다 이강인 까더라
2024-03-21 10:11:38,국뽕빼고 카카와신지를 박지성보다 위로 평가하지않나
2024-03-21 10:11:34,메호대전 손박대전도 이거보다 유치했는데 뭘 갤 씹창이야
2024-03-21 10:11:26,보통 왕따당하는 사람들은 본인에게 문제가 있는지 모름.factos
2024-03-21 10:11:13,손흥민=울보 찌질이 새끼가 주장이니 국대가 잘 되겠노?
2024-03-21 10:11:08,강인이가 래쉬포드 밑에 붙어서 골 주워먹을수있을까
2024-03-21 10:10:47,해외팬들한테 물어봐라
2024-03-21 10:10:40,이강인은 눈에 보이는 패스만 하더라
2024-03-21 10:10:35,아니 시발 찬밥이 불쌍해서 옹호한다는말을 ㅋㅋ
2024-03-21 10:10:25,김민재 순식간에 카가와신지된게 ㅈㄴ 웃김 ㅋㅋㅋ
2024-03-21 10:10:24,드디어 밝혀진 폭로 진실.jpg
2024-03-21 10:10:17,걍 조현우 주장시키면 안되냐?
2024-03-21 10:09:39,결국 논리가 밀리면 현생이니 갤 씹창났느니 하는소리만 나옴
2024-03-21 10:09:38,국대 다른 놈들 이강인 아무도 안무서워하고 오히려 만만하게 대하는데
2024-03-20 19:17:37,그래서 파리세인트절메인 이새끼들
2024-03-20 19:17:32,그래서 파리세인트절메인 이새끼들
2024-03-20 19:17:30,엠창단들 엠창 사우디로 꺼지면 같이 꺼지는거냐?
2024-03-20 19:17:27,그래서 파리세인트절메인 이새끼들
2024-03-20 19:17:25,추천 ㄱㄱ
2024-03-20 19:17:21,그래서 파리세인트절메인 이새끼들
2024-03-20 19:17:19,결승전 장소가 런던인데 웃음벨이네
2024-03-20 19:17:15,그래서 파리세인트절메인 이새끼들
2024-03-20 19:17:10,손흥민과 이강인 소속팀 복귀후 경기 일정
2024-03-20 19:17:06,10~20대는 상상이상으로 네이버뉴스 안보는듯
2024-03-20 19:17:04,누군 평생해도 무관좆소정치인 누군23살에 빅클럽 트레블각ㅋ
2024-03-20 19:16:58,선조 = 창민     이순신 = 이강인
2024-03-20 19:16:56,김민재 이강인한테 왜 이러냐 ㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-20 19:16:54,젖평.jpg
2024-03-20 19:16:53,앰가락 새끼  이제 귀신같이 손가락으로 변할거 같다
2024-03-20 19:16:45,■ 소름 찬밥이 계속 사과할동안 밥줌들 한번도 인정안함 ■
2024-03-20 19:16:42,탁구 친 이강인 국대 퇴출하고 '코리안 메시' 이승우 써라!
2024-03-20 19:16:33,현재 네이버 지식백과 조회수 1위…jpg
2024-03-20 19:16:26,앰창단이 제일 두려워 하는 인물
2024-03-20 19:16:14,즈그 주인 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋ
2024-03-20 19:16:13,창민이 사우디로 꺼지면 좋겠다
2024-03-20 19:16:12,강인: 확 챔스 우승하고 트레블 해버려?
2024-03-20 19:15:47,5등도 잘한거야 
2024-03-20 19:15:43,붕대도 스킨색이 있어요 꼭 흰색을 고집해
2024-03-20 19:15:41,사건의 당사자인데 3인칭 관찰자 화법 쓰는 사람 조심해라
2024-03-20 19:15:33,월드컵<< 진지하게 네이션스리그보다 수준낮음 ㅋㅋ
2024-03-20 19:15:30,이강인이 어디 듣보클럽 쭈구리였어봐. 손흥민이 견제 안했지
2024-03-20 19:15:17,즈그 주인이 지 입으로 잘못했다고 대국민사과 하는데
2024-03-20 19:15:14,찬밥단 정치질이 ㄹㅇ심각하네
2024-03-20 19:15:04,도게자 백번도 박지
